BeachId,Region,Council,Site,Longitude,Latitude,Date,Enterococci (cfu/100ml)
62.2,Sydney Harbour,Woollahra Council,Camp Cove,151.278538,-33.839541,29/12/2021,3
62.2,Sydney Harbour,Woollahra Council,Camp Cove,151.278538,-33.839541,09/06/2021,0
62.2,Sydney Harbour,Woollahra Council,Camp Cove,151.278538,-33.839541,26/11/2021,80
62.2,Sydney Harbour,Woollahra Council,Camp Cove,151.278538,-33.839541,02/02/2021,0
62.2,Sydney Harbour,Woollahra Council,Camp Cove,151.278538,-33.839541,08/02/2021,8
62.2,Sydney Harbour,Woollahra Council,Camp Cove,151.278538,-33.839541,25/02/2021,18
62.2,Sydney Harbour,Woollahra Council,Camp Cove,151.278538,-33.839541,08/04/2021,10
62.2,Sydney Harbour,Woollahra Council,Camp Cove,151.278538,-33.839541,14/04/2021,3
62.2,Sydney Harbour,Woollahra Council,Camp Cove,151.278538,-33.839541,08/10/2021,5
62.2,Sydney Harbour,Woollahra Council,Camp Cove,151.278538,-33.839541,14/10/2021,6
62.2,Sydney Harbour,Woollahra Council,Camp Cove,151.278538,-33.839541,04/11/2021,5
62.2,Sydney Harbour,Woollahra Council,Camp Cove,151.278538,-33.839541,16/11/2021,0
62.2,Sydney Harbour,Woollahra Council,Camp Cove,151.278538,-33.839541,08/03/2021,4
62.2,Sydney Harbour,Woollahra Council,Camp Cove,151.278538,-33.839541,19/03/2021,12
62.2,Sydney Harbour,Woollahra Council,Camp Cove,151.278538,-33.839541,20/04/2021,7
62.2,Sydney Harbour,Woollahra Council,Camp Cove,151.278538,-33.839541,22/12/2021,0
62.2,Sydney Harbour,Woollahra Council,Camp Cove,151.278538,-33.839541,26/04/2021,1
62.2,Sydney Harbour,Woollahra Council,Camp Cove,151.278538,-33.839541,13/05/2021,0
62.2,Sydney Harbour,Woollahra Council,Camp Cove,151.278538,-33.839541,13/07/2021,1
62.2,Sydney Harbour,Woollahra Council,Camp Cove,151.278538,-33.839541,10/11/2021,0
62.2,Sydney Harbour,Woollahra Council,Camp Cove,151.278538,-33.839541,14/01/2021,110
62.2,Sydney Harbour,Woollahra Council,Camp Cove,151.278538,-33.839541,12/02/2021,0
62.2,Sydney Harbour,Woollahra Council,Camp Cove,151.278538,-33.839541,18/02/2021,160
62.2,Sydney Harbour,Woollahra Council,Camp Cove,151.278538,-33.839541,02/03/2021,3
62.2,Sydney Harbour,Woollahra Council,Camp Cove,151.278538,-33.839541,12/03/2021,0
62.2,Sydney Harbour,Woollahra Council,Camp Cove,151.278538,-33.839541,24/03/2021,11
62.2,Sydney Harbour,Woollahra Council,Camp Cove,151.278538,-33.839541,31/03/2021,4
62.2,Sydney Harbour,Woollahra Council,Camp Cove,151.278538,-33.839541,03/12/2021,16
62.2,Sydney Harbour,Woollahra Council,Camp Cove,151.278538,-33.839541,09/12/2021,1
62.2,Sydney Harbour,Woollahra Council,Camp Cove,151.278538,-33.839541,15/12/2021,3
62.2,Sydney Harbour,Woollahra Council,Camp Cove,151.278538,-33.839541,22/09/2021,0
62.2,Sydney Harbour,Woollahra Council,Camp Cove,151.278538,-33.839541,20/10/2021,9
62.2,Sydney Harbour,Woollahra Council,Camp Cove,151.278538,-33.839541,26/10/2021,32
62.2,Sydney Harbour,Woollahra Council,Camp Cove,151.278538,-33.839541,29/10/2021,0
62.2,Sydney Harbour,Woollahra Council,Camp Cove,151.278538,-33.839541,22/11/2021,10
62.2,Sydney Harbour,Woollahra Council,Camp Cove,151.278538,-33.839541,18/01/2021,0
62.2,Sydney Harbour,Woollahra Council,Camp Cove,151.278538,-33.839541,27/01/2021,0
