 YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC     MAM     JJA     SON     DJF     ANN
 1901    27.5    27.2    24.8    21.6    18.2    14.4    13.3    15.5    19.7    22.3    26.7    27.9    21.5    14.4    22.9    27.4    21.6
 1902    27.4    26.9    25.4    22.0    18.2    14.9    14.2    15.6    19.3    22.7    25.9    26.3    21.9    14.9    22.6    27.0    21.6
 1903    27.7    27.0    25.6    21.6    17.6    14.8    13.8    15.8    18.7    22.0    24.8    25.6    21.6    14.8    21.8    26.1    21.3
 1904    26.6    26.0    24.4    21.8    17.9    14.5    14.0    15.7    18.5    21.9    25.2    27.4    21.4    14.7    21.9    27.2    21.2
 1905    27.9    26.2    25.3    22.1    18.5    14.9    13.9    15.2    17.6    20.9    25.1    27.6    22.0    14.6    21.2    28.3    21.3
 1906    28.9    28.3    24.8    23.1    18.9    16.3    14.9    16.0    18.6    22.4    24.0    26.7    22.3    15.8    21.7    26.7    21.9
 1907    26.9    26.7    24.4    21.2    18.0    15.1    14.3    16.1    19.1    22.9    24.4    26.2    21.2    15.2    22.1    26.9    21.3
 1908    28.0    26.5    24.2    21.6    17.6    13.3    13.5    15.0    17.6    21.3    25.3    27.1    21.1    13.9    21.4    26.7    20.9
 1909    26.7    26.3    25.1    20.7    17.5    15.3    13.4    16.0    18.5    22.6    24.7    25.8    21.1    14.9    21.9    26.8    21.0
 1910    27.5    27.1    24.4    22.2    18.7    15.4    14.4    16.6    20.0    21.2    24.3    25.9    21.7    15.5    21.8    26.3    21.5
 1911    27.0    26.1    24.8    21.4    17.6    13.9    14.2    16.0    19.0    22.4    25.8    26.8    21.3    14.7    22.4    27.7    21.2
 1912    28.1    28.1    25.9    21.7    18.2    15.1    14.2    16.3    19.2    22.6    24.7    27.0    21.9    15.2    22.2    26.9    21.7
 1913    27.0    26.7    24.4    22.1    16.3    14.0    14.5    15.7    18.4    22.5    25.2    27.3    20.9    14.7    22.0    27.5    21.2
 1914    27.7    27.7    25.9    22.6    18.4    15.3    13.7    16.8    19.4    23.1    26.1    27.7    22.3    15.3    22.9    27.7    22.0
 1915    27.2    28.2    25.8    22.6    17.7    16.2    15.5    16.0    20.0    22.4    25.8    26.9    22.0    15.9    22.7    27.3    22.0
 1916    27.6    27.2    25.6    21.1    18.8    15.9    14.2    16.3    19.5    21.5    23.5    25.8    21.8    15.4    21.5    25.8    21.4
 1917    26.7    24.9    24.3    20.7    16.4    14.4    15.1    15.4    19.0    21.9    23.9    26.3    20.4    15.0    21.6    26.3    20.7
 1918    26.7    25.8    23.9    21.5    18.0    15.6    13.2    16.0    19.1    22.4    25.4    27.2    21.1    14.9    22.3    27.2    21.2
 1919    27.6    26.9    25.2    22.7    18.1    15.7    14.1    15.7    18.8    22.3    25.6    27.6    22.0    15.2    22.2    27.1    21.7
 1920    26.9    26.7    24.6    21.2    17.6    15.6    14.3    15.8    19.1    22.4    25.1    26.1    21.1    15.2    22.2    26.7    21.3
 1921    27.0    27.1    24.5    21.5    19.4    16.4    15.2    15.2    19.2    21.6    25.5    26.5    21.8    15.6    22.1    26.9    21.6
 1922    27.1    27.2    25.1    22.8    17.6    14.9    13.0    15.2    18.9    22.6    25.6    26.3    21.8    14.4    22.4    27.2    21.3
 1923    27.3    28.1    26.0    22.6    18.9    14.8    13.6    14.9    18.2    21.8    24.5    26.8    22.5    14.4    21.5    26.5    21.5
 1924    26.5    26.1    24.5    20.3    18.0    14.7    14.9    15.9    19.4    21.9    24.6    25.7    21.0    15.2    22.0    26.1    21.1
 1925    26.2    26.5    24.9    21.5    17.7    14.9    13.1    15.0    17.5    21.9    25.5    27.5    21.4    14.3    21.6    27.8    21.0
 1926    27.6    28.4    25.6    22.4    16.8    14.8    14.9    16.2    19.3    23.0    25.5    26.2    21.6    15.3    22.6    26.6    21.7
 1927    27.4    26.2    25.2    21.2    17.2    15.4    14.0    15.8    19.2    22.8    25.6    26.4    21.2    15.1    22.5    26.7    21.4
 1928    26.9    26.7    25.6    23.0    17.4    14.5    14.3    17.2    20.4    22.7    25.7    27.3    22.0    15.3    22.9    27.4    21.8
 1929    27.4    27.6    24.4    20.7    17.3    14.3    12.8    15.9    18.2    22.2    25.2    26.0    20.8    14.3    21.9    26.9    21.0
 1930    27.2    27.4    25.4    21.6    18.2    15.3    15.0    15.9    19.0    22.4    25.2    26.4    21.7    15.4    22.2    26.7    21.6
 1931    27.2    26.7    25.1    21.4    18.0    15.3    14.3    15.9    19.1    21.4    23.9    27.0    21.5    15.2    21.4    27.6    21.3
 1932    29.1    26.8    25.3    21.4    18.5    14.7    13.9    15.6    18.6    21.8    25.2    26.6    21.8    14.7    21.9    27.1    21.5
 1933    27.4    27.2    25.8    21.9    18.0    15.5    13.9    15.0    18.7    22.4    24.1    25.9    21.9    14.8    21.8    26.9    21.3
 1934    27.8    27.0    25.7    21.3    18.6    15.0    14.4    15.7    19.2    21.7    24.2    26.5    21.9    15.0    21.7    26.9    21.4
 1935    27.3    27.0    25.1    21.1    17.4    14.4    14.1    16.1    18.8    22.4    25.4    26.9    21.2    14.9    22.2    27.2    21.3
 1936    27.8    27.1    25.1    21.1    17.9    14.2    14.8    17.2    19.1    22.6    25.4    26.9    21.4    15.4    22.4    26.9    21.6
 1937    26.9    27.0    25.3    21.0    18.4    14.4    13.6    15.9    19.1    23.2    25.9    27.0    21.6    14.6    22.7    26.9    21.5
 1938    27.3    26.3    26.2    22.6    19.3    15.2    14.2    15.7    19.4    23.2    26.1    27.9    22.7    15.0    22.9    27.8    22.0
 1939    28.5    27.1    25.0    22.0    18.9    15.1    13.5    15.0    18.2    21.7    24.3    26.5    22.0    14.5    21.4    26.8    21.3
 1940    27.6    26.4    26.0    21.1    17.0    15.5    14.2    16.3    19.3    23.5    24.7    27.3    21.4    15.3    22.5    26.6    21.6
 1941    26.1    26.5    24.3    22.1    17.9    14.8    14.4    15.3    18.9    21.7    25.4    27.1    21.4    14.8    22.0    27.0    21.2
 1942    27.8    26.3    25.7    22.1    19.1    16.0    14.5    16.8    19.6    22.0    24.9    26.4    22.3    15.8    22.2    26.7    21.8
 1943    27.3    26.4    26.1    21.5    17.2    14.1    13.8    15.1    18.7    22.3    24.2    26.5    21.6    14.3    21.8    26.9    21.1
 1944    28.1    26.2    25.0    20.9    16.6    14.7    14.1    16.0    20.0    22.6    26.1    26.3    20.8    14.9    22.9    26.6    21.4
 1945    27.0    26.5    24.8    22.0    17.9    16.3    13.6    17.1    18.7    21.4    24.6    26.9    21.6    15.7    21.6    26.8    21.4
 1946    27.4    26.0    24.0    20.3    18.5    13.7    14.7    16.0    18.8    21.8    25.0    26.9    21.0    14.8    21.9    27.5    21.1
 1947    28.5    27.2    25.2    21.0    18.3    15.8    14.7    15.9    18.5    21.4    24.2    26.1    21.5    15.5    21.4    26.8    21.4
 1948    26.8    27.4    24.6    21.1    17.4    14.6    14.2    16.2    18.8    22.4    24.8    26.5    21.0    15.0    22.0    26.3    21.2
 1949    26.8    25.6    24.5    20.6    17.1    13.5    14.3    16.1    18.5    22.2    24.1    26.9    20.8    14.6    21.6    26.8    20.9
 1950    27.2    26.2    24.7    21.4    18.6    14.3    14.2    15.6    19.2    21.4    24.3    26.3    21.6    14.7    21.7    26.7    21.1
 1951    26.9    26.8    26.1    21.0    17.1    15.4    13.9    14.6    19.3    22.1    25.4    26.8    21.4    14.6    22.3    27.2    21.3
 1952    27.9    26.8    25.3    21.4    17.8    14.9    13.9    15.5    19.0    21.8    24.2    26.4    21.5    14.8    21.7    26.3    21.3
 1953    26.7    25.6    26.0    22.8    17.4    15.1    14.2    14.6    18.5    22.3    24.6    27.1    22.1    14.6    21.8    26.7    21.2
 1954    27.2    26.0    25.4    21.8    17.7    14.4    14.6    16.1    18.8    22.3    24.7    26.7    21.6    15.0    21.9    27.1    21.3
 1955    27.3    27.3    25.1    21.6    17.1    15.3    14.0    16.6    19.5    22.1    23.9    25.8    21.3    15.3    21.8    26.7    21.3
 1956    26.9    27.3    25.0    21.4    17.4    14.0    14.2    14.6    17.6    21.1    23.9    26.1    21.3    14.3    20.9    26.7    20.8
 1957    27.5    26.6    24.7    22.6    17.9    16.9    13.0    15.8    18.6    23.0    25.7    27.5    21.8    15.2    22.5    27.5    21.7
 1958    27.5    27.4    25.6    23.0    20.2    15.5    14.7    16.3    17.5    21.9    25.3    26.4    22.9    15.5    21.6    27.2    21.8
 1959    28.0    27.1    26.0    22.4    18.0    15.7    14.8    16.5    19.3    22.5    26.4    26.0    22.1    15.7    22.7    26.9    21.9
 1960    28.0    26.6    25.1    21.5    16.1    14.3    14.3    14.8    18.5    22.7    24.2    26.6    20.9    14.5    21.8    27.1    21.1
 1961    27.7    27.0    25.6    22.6    17.8    15.1    13.7    15.3    20.0    23.7    25.3    27.3    22.0    14.7    23.0    27.3    21.7
 1962    27.5    27.0    25.0    21.8    17.4    16.8    14.8    15.7    18.9    22.2    25.9    26.7    21.4    15.7    22.3    26.9    21.6
 1963    27.0    27.0    25.8    21.3    18.4    14.9    13.9    16.0    19.0    22.7    25.1    27.1    21.8    14.9    22.3    26.9    21.5
 1964    27.4    26.4    25.6    22.2    17.9    15.6    15.2    16.2    19.6    21.2    24.6    25.7    21.9    15.6    21.8    27.2    21.5
 1965    27.5    28.3    25.2    21.5    18.6    15.6    13.4    16.3    20.0    23.3    25.3    27.2    21.8    15.1    22.9    27.1    21.9
 1966    27.4    26.8    25.4    22.3    17.3    15.4    14.0    15.2    18.6    21.2    24.9    25.9    21.6    14.9    21.5    26.6    21.2
 1967    27.6    26.4    23.9    22.6    18.4    15.3    13.7    15.2    18.8    24.1    25.5    26.4    21.6    14.7    22.8    27.2    21.5
 1968    28.0    27.3    25.5    22.6    16.6    15.5    13.5    14.8    18.3    22.3    25.0    26.1    21.6    14.6    21.9    27.3    21.3
 1969    28.6    27.2    25.2    21.8    18.2    14.8    15.2    16.7    17.5    23.3    25.2    26.4    21.7    15.6    22.0    27.3    21.7
 1970    27.7    27.7    25.2    21.9    17.5    16.1    14.2    15.5    18.3    23.0    24.7    26.8    21.5    15.3    22.0    27.4    21.6
 1971    28.1    27.3    25.6    21.5    17.5    14.2    13.9    16.3    19.4    22.8    23.9    26.4    21.5    14.8    22.1    26.6    21.4
 1972    26.8    26.8    24.8    21.7    18.3    15.7    14.2    16.7    19.8    22.9    25.6    28.6    21.6    15.5    22.8    28.1    21.8
 1973    28.6    27.1    25.7    22.8    19.4    15.8    16.1    16.8    19.1    22.7    24.8    26.7    22.6    16.3    22.2    26.4    22.1
 1974    26.7    25.8    25.5    21.4    17.7    14.5    14.7    16.1    18.4    21.7    23.8    26.4    21.5    15.1    21.3    26.7    21.0
 1975    26.9    26.7    24.7    21.6    18.5    14.9    16.1    15.9    19.8    21.1    25.1    26.5    21.6    15.7    22.0    26.3    21.5
 1976    26.1    26.4    25.0    21.5    17.6    14.7    14.4    15.5    18.5    21.2    24.1    27.4    21.3    14.9    21.3    27.5    21.0
 1977    27.6    27.6    24.8    21.7    17.7    14.6    14.0    16.9    18.4    23.3    25.6    27.4    21.4    15.2    22.4    27.5    21.6
 1978    27.6    27.5    26.1    22.1    18.6    14.9    14.1    15.6    17.8    21.9    24.7    26.2    22.3    14.8    21.5    27.3    21.4
 1979    28.7    26.9    25.7    22.1    17.2    16.0    14.5    16.2    19.3    22.6    26.3    28.1    21.7    15.6    22.8    27.8    22.0
 1980    27.9    27.3    26.3    22.7    19.4    15.7    14.6    16.9    20.6    22.9    26.3    27.5    22.8    15.7    23.3    27.6    22.3
 1981    28.1    27.1    24.7    23.6    18.5    14.9    15.0    16.6    20.6    22.6    24.2    27.2    22.2    15.5    22.5    27.6    21.9
 1982    28.4    27.3    24.8    22.1    18.1    13.9    13.4    17.4    18.9    22.0    26.4    27.7    21.7    14.9    22.4    28.2    21.7
 1983    27.8    29.0    25.9    20.9    18.6    15.4    13.7    16.9    20.7    23.2    25.2    27.0    21.8    15.3    23.0    26.7    22.0
 1984    26.3    26.8    24.3    21.8    18.6    15.3    13.7    16.1    17.8    22.6    25.4    26.8    21.6    15.1    21.9    27.7    21.3
 1985    28.2    27.9    26.3    22.1    18.5    14.6    14.5    16.8    18.7    22.1    25.3    26.7    22.3    15.3    22.0    27.3    21.8
 1986    27.6    27.6    26.9    22.6    19.0    15.6    14.2    15.4    19.6    21.6    25.0    26.7    22.8    15.1    22.1    27.0    21.8
 1987    27.7    26.7    24.7    23.0    18.2    16.2    14.6    16.1    19.5    22.3    25.5    27.0    22.0    15.7    22.4    27.6    21.8
 1988    28.7    27.0    26.1    22.6    19.3    16.2    15.4    16.8    20.3    24.6    24.8    26.6    22.7    16.1    23.2    27.2    22.4
