YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,MAM,JJA,SON,DJF,ANN
1901,61.9,97.6,99.8,35.7,23.9,25.3,19.5,30,18.1,20.5,17.6,27.1,159.3,74.7,56.2,167.8,476.8
1902,76.7,64,32.9,10.5,11.9,19,13,12.9,15.7,19.6,27.2,55,55.3,44.8,62.5,192.2,358.3
1903,72.2,64.9,87.9,54.1,33.4,25.7,28,19.5,33.2,24.8,43.2,91.1,175.5,73.3,101.1,275.8,578.1
1904,97,87.8,70.8,46.5,38.2,22.8,33.6,12.7,17.7,37.4,19.9,52.7,155.5,69.1,75,186.2,537
1905,83.6,50,36.7,47.7,36.2,22.9,22.3,12,15.4,21.5,22.3,35.2,120.6,57.1,59.2,189.6,405.7
1906,68.6,85.8,70.8,15,27.9,28.1,21.9,29.6,35,30.1,39.9,72.1,113.7,79.6,105,238.2,524.9
1907,87.3,78.8,63.5,22,25.5,38.7,25.7,17.8,11.1,18.2,39.4,94.7,110.9,82.1,68.8,259.3,522.6
1908,67.8,96.9,88.8,42.9,29.2,27.3,21.7,21.4,18.2,25.2,31.1,47.3,160.8,70.4,74.5,187.9,517.7
1909,81.5,59.1,60.7,41.4,24.6,45.9,20.6,37.6,14.1,24.5,45.9,53.9,126.7,104,84.5,236.1,509.7
1910,96.6,85.6,83.5,34.4,32.6,44.2,30.6,13.2,24.5,25.6,46.9,76.9,150.5,88,97,270.6,594.5
1911,98.1,95.6,47.5,42.5,26.2,19.2,22.4,14,15.6,18.4,31.5,61.5,116.2,55.6,65.5,189.1,492.5
1912,46.8,80.8,81.6,15.2,13.8,38.9,36.8,13.1,16,21.8,34.2,37.2,110.7,88.8,71.9,230.9,436.2
1913,89.7,104.1,86.3,32.4,31.9,30.2,15,15.2,18.6,20.5,17.2,61,150.6,60.3,56.2,220.6,521.9
1914,107.8,51.8,69.3,33.5,29.3,23.6,19.1,7.9,8.6,21,39.8,74.2,132.2,50.6,69.4,226.5,485.9
1915,90.5,61.9,29.8,19.5,38.8,30.6,20.8,22,24.1,18.1,17.7,61,88.1,73.4,59.9,218.8,434.7
1916,86.8,71.1,55.6,29,21.7,41.3,39.5,24,22.8,48.9,58,89,106.3,104.8,129.7,283.2,587.6
1917,113.3,80.9,79.6,26.8,26.9,31.6,25.9,27.5,37.4,31.4,64.9,75.8,133.3,85,133.7,326.6,622
1918,134.9,116,39,32,27,20.6,18.9,26.3,10.6,13.7,21,36.9,98,65.8,45.3,206.7,496.9
1919,80.2,89.5,44.5,36.8,30.9,15.7,13.3,18.6,11.4,13.6,21.4,52.6,112.2,47.6,46.4,208.4,428.5
1920,104.6,51.2,42.8,45.4,29.5,38.4,36,31.8,30,31.3,48.6,67,117.7,106.1,109.9,237.5,556.6
1921,76,94.4,108.6,31.8,53.4,42.7,31.4,21.2,24.6,26.7,26.1,72.1,193.8,95.4,77.4,225.5,609.1
1922,62.6,90.8,67.3,25.3,28.3,22.9,28.3,14.4,14.5,22.9,18,82.7,120.9,65.6,55.4,190.7,478
1923,69.7,38.3,71.8,33.9,25.6,55.3,25.2,13,17.8,18.2,18.4,77.1,131.2,93.5,54.4,230.1,464.1
1924,59.3,93.7,56,32.3,15.8,22.2,18.3,24,22.1,31.5,56.3,50.5,104.1,64.5,110,241.6,482
1925,101.8,89.4,79.6,25.7,28.8,24,19.8,17.1,15.3,10.1,30,38.2,134.2,61,55.4,163.7,479.9
1926,87.2,38.3,73.8,34.2,35,20.1,19.7,15.6,25.3,13,19.6,70.1,143,55.3,57.9,233.9,451.9
1927,94.1,69.7,69.3,21.8,16,35.4,20.8,13.5,17,23.7,37.1,58.4,107.1,69.7,77.8,211.5,476.7
1928,57.8,95.3,70.5,30.6,16.3,25.8,21.9,9.8,10.8,18.5,25.4,51,117.4,57.5,54.7,207.2,433.8
1929,76.7,79.5,74.1,39.9,23,28.1,11,16.1,11.8,15.8,27.7,46.7,137,55.2,55.3,232.3,450.5
1930,91.8,93.8,55.7,22.5,32.7,32.6,22.6,23.8,11.8,41.2,28.4,69.7,111,79,81.5,186,526.7
1931,79.1,37.2,76,51,43.1,36.2,22.8,16,20,16.8,42.1,51,170.2,75,78.8,163.4,491.3
