Date,Precipitation (mm),Enterococci (cfu/100ml)
01/01/2020,0,0
02/01/2020,0,0
03/01/2020,0,0
04/01/2020,0,0
05/01/2020,0,0
06/01/2020,0.4,0
07/01/2020,2.8,0
08/01/2020,1.8,2
09/01/2020,0,0
10/01/2020,0.1,0
11/01/2020,0.4,0
12/01/2020,0,0
13/01/2020,1,0
14/01/2020,0,2
15/01/2020,0,0
16/01/2020,4.4,0
17/01/2020,5.6,0
18/01/2020,45,0
19/01/2020,5.4,0
20/01/2020,0.2,0
21/01/2020,2.6,0
22/01/2020,0,0
23/01/2020,0,0
24/01/2020,0.1,17
25/01/2020,1,0
26/01/2020,0.2,0
27/01/2020,0,0
28/01/2020,0,0
29/01/2020,0,0
30/01/2020,0,0
31/01/2020,0,0
01/02/2020,0,0
02/02/2020,0,0
03/02/2020,16,0
04/02/2020,2.2,0
05/02/2020,0.6,0
06/02/2020,3.2,0
07/02/2020,64.2,0
08/02/2020,47.6,0
09/02/2020,52.4,0
10/02/2020,153.6,0
11/02/2020,0,220
12/02/2020,0.2,0
13/02/2020,13.2,0
14/02/2020,5.4,0
15/02/2020,0,0
16/02/2020,1,0
17/02/2020,0.2,0
18/02/2020,0.4,0
19/02/2020,7.2,0
20/02/2020,0.2,0
21/02/2020,0,5
22/02/2020,0.2,0
23/02/2020,1.2,0
24/02/2020,0,0
25/02/2020,0,0
26/02/2020,0,0
27/02/2020,0.4,2
28/02/2020,0,0
29/02/2020,0,0
01/03/2020,0,0
02/03/2020,0,0
03/03/2020,0,0
04/03/2020,19.6,36
05/03/2020,7.2,0
06/03/2020,38,0
07/03/2020,0.2,0
08/03/2020,7.8,0
09/03/2020,7.8,0
10/03/2020,8,0
11/03/2020,0,0
12/03/2020,0.8,0
13/03/2020,0,0
14/03/2020,0,0
15/03/2020,10.4,0
16/03/2020,7,4
17/03/2020,23.6,0
18/03/2020,0.2,0
19/03/2020,0,0
20/03/2020,0,0
21/03/2020,0,0
22/03/2020,1.4,0
23/03/2020,0,0
24/03/2020,10.4,0
25/03/2020,0,0
26/03/2020,11,0
27/03/2020,0,0
28/03/2020,0,0
29/03/2020,12.2,0
30/03/2020,1.4,0
31/03/2020,0,0
01/04/2020,0,0
02/04/2020,0,0
03/04/2020,4,0
04/04/2020,9.6,0
05/04/2020,0,0
06/04/2020,0,0
07/04/2020,4,0
08/04/2020,7.2,0
09/04/2020,0,0
10/04/2020,2.8,0
11/04/2020,0,0
12/04/2020,2.02,0
13/04/2020,0,0
14/04/2020,0,0
15/04/2020,0,0
16/04/2020,0,0
17/04/2020,0,0
18/04/2020,0,0
19/04/2020,0,0
20/04/2020,0,0
