Date,Precipitation (mm),Enterococci (cfu/100ml)
01/01/2022,0,0
02/01/2022,0,0
03/01/2022,0,0
04/01/2022,0,0
05/01/2022,3,0
06/01/2022,17,0
07/01/2022,2.2,0
08/01/2022,30.2,0
09/01/2022,0,0
10/01/2022,0,0
11/01/2022,0,0
12/01/2022,0,0
13/01/2022,42.2,0
14/01/2022,2.4,0
15/01/2022,0,0
16/01/2022,0,0
17/01/2022,0,0
18/01/2022,0,13
19/01/2022,8.8,0
20/01/2022,2.8,0
21/01/2022,1.8,0
22/01/2022,3.4,0
23/01/2022,6.4,0
24/01/2022,1.6,0
25/01/2022,0,0
26/01/2022,0,0
27/01/2022,0,0
28/01/2022,0,0
29/01/2022,0,0
30/01/2022,0,0
31/01/2022,0,0
01/02/2022,0,0
02/02/2022,9,0
03/02/2022,4.2,0
04/02/2022,4.4,5
05/02/2022,10.2,0
06/02/2022,1.8,0
07/02/2022,14,0
08/02/2022,17.6,0
09/02/2022,9.4,0
10/02/2022,0,7
11/02/2022,4.2,0
12/02/2022,12.2,0
13/02/2022,4,0
14/02/2022,0,0
15/02/2022,0,0
16/02/2022,0,63
17/02/2022,0,0
18/02/2022,1.2,0
19/02/2022,0.2,0
20/02/2022,0.2,0
21/02/2022,0,0
22/02/2022,3.4,0
23/02/2022,123.2,0
24/02/2022,56.8,0
25/02/2022,23.2,0
26/02/2022,40.4,0
27/02/2022,31,0
28/02/2022,3.6,0
01/03/2022,29.4,0
02/03/2022,19.6,0
03/03/2022,42.2,0
04/03/2022,11.4,0
05/03/2022,6.6,0
06/03/2022,20.2,0
07/03/2022,22.4,19
08/03/2022,132.8,0
09/03/2022,41,0
10/03/2022,0.4,0
11/03/2022,1.4,0
12/03/2022,0.4,0
13/03/2022,0.4,0
14/03/2022,2.4,0
15/03/2022,6.6,0
16/03/2022,8.8,0
17/03/2022,4,7
18/03/2022,0,0
19/03/2022,32.4,0
20/03/2022,0,0
21/03/2022,0,0
22/03/2022,0,0
23/03/2022,0,11
24/03/2022,1.4,0
25/03/2022,15.6,0
26/03/2022,13,0
27/03/2022,1.4,0
28/03/2022,24,0
29/03/2022,65.2,0
30/03/2022,7.8,0
31/03/2022,31.2,50
01/04/2022,2.2,0
02/04/2022,0,0
03/04/2022,0,0
04/04/2022,0,0
05/04/2022,17.2,0
06/04/2022,190.4,0
07/04/2022,42.6,0
08/04/2022,7,83
09/04/2022,5.2,0
10/04/2022,0,0
11/04/2022,0.4,0
12/04/2022,26.2,0
