Date,Precipitation (mm),Camp Cove,Watsons Bay,Parsley Bay
1/01/2020,0,0,0,0
2/01/2020,0,0,0,0
3/01/2020,0,0,0,0
4/01/2020,0,0,0,0
5/01/2020,0,0,0,0
6/01/2020,0.4,0,0,0
7/01/2020,2.8,0,0,0
8/01/2020,1.8,2,84,33
9/01/2020,0,0,0,0
10/01/2020,0.1,0,0,0
11/01/2020,0.4,0,0,0
12/01/2020,0,0,0,0
13/01/2020,1,0,0,0
14/01/2020,0,2,0,3
15/01/2020,0,0,0,0
16/01/2020,4.4,0,0,0
17/01/2020,5.6,0,0,0
18/01/2020,45,0,0,0
19/01/2020,5.4,0,0,0
20/01/2020,0.2,0,0,0
21/01/2020,2.6,0,0,0
22/01/2020,0,0,0,0
23/01/2020,0,0,0,0
24/01/2020,0.1,17,58,18
25/01/2020,1,0,0,0
26/01/2020,0.2,0,0,30
27/01/2020,0,0,0,0
28/01/2020,0,0,0,0
29/01/2020,0,0,0,0
30/01/2020,0,0,0,0
31/01/2020,0,0,0,0
1/02/2020,0,0,0,0
2/02/2020,0,0,0,0
3/02/2020,16,0,0,0
4/02/2020,2.2,0,0,0
5/02/2020,0.6,0,1,0
6/02/2020,3.2,0,0,0
7/02/2020,64.2,0,0,0
8/02/2020,47.6,0,0,0
9/02/2020,52.4,0,0,0
10/02/2020,153.6,0,0,0
11/02/2020,0,220,250,300
12/02/2020,0.2,0,0,0
13/02/2020,13.2,0,0,0
14/02/2020,5.4,0,0,0
15/02/2020,0,0,0,0
16/02/2020,1,0,0,0
17/02/2020,0.2,0,0,0
18/02/2020,0.4,0,0,0
19/02/2020,7.2,0,0,0
20/02/2020,0.2,0,0,0
21/02/2020,0,5,11,32
22/02/2020,0.2,0,0,0
23/02/2020,1.2,0,0,0
24/02/2020,0,0,0,0
25/02/2020,0,0,0,0
26/02/2020,0,0,0,0
27/02/2020,0.4,2,5,2
28/02/2020,0,0,0,0
29/02/2020,0,0,0,0
1/03/2020,0,0,0,0
2/03/2020,0,0,0,0
3/03/2020,0,0,0,0
4/03/2020,19.6,36,800,2500
5/03/2020,7.2,0,0,0
6/03/2020,38,0,0,0
7/03/2020,0.2,0,0,0
8/03/2020,7.8,0,0,0
9/03/2020,7.8,0,0,0
10/03/2020,8,0,0,0
11/03/2020,0,0,0,0
12/03/2020,0.8,0,0,0
13/03/2020,0,0,0,0
14/03/2020,0,0,0,0
15/03/2020,10.4,0,0,0
16/03/2020,7,4,190,170
17/03/2020,23.6,0,0,0
18/03/2020,0.2,0,0,0
19/03/2020,0,0,0,0
20/03/2020,0,0,0,6
21/03/2020,0,0,0,0
22/03/2020,1.4,0,0,0
23/03/2020,0,0,0,0
24/03/2020,10.4,0,0,0
25/03/2020,0,0,0,0
26/03/2020,11,0,0,0
27/03/2020,0,0,0,0
28/03/2020,0,0,0,0
29/03/2020,12.2,0,0,0
30/03/2020,1.4,0,0,0
31/03/2020,0,0,0,0
1/04/2020,0,0,0,0
2/04/2020,0,0,0,0
3/04/2020,4,0,0,0
4/04/2020,9.6,0,0,0
5/04/2020,0,0,0,0
6/04/2020,0,0,0,0
7/04/2020,4,0,0,0
8/04/2020,7.2,0,0,0
9/04/2020,0,0,0,0
10/04/2020,2.8,0,0,0
11/04/2020,0,0,0,0
12/04/2020,2.02,0,0,0
13/04/2020,0,0,0,0
14/04/2020,0,0,0,0
15/04/2020,0,0,0,0
16/04/2020,0,0,0,0
17/04/2020,0,0,0,0
18/04/2020,0,0,0,0
19/04/2020,0,0,0,0
20/04/2020,0,0,0,0
21/04/2020,0,0,0,0
22/04/2020,0,0,0,0
23/04/2020,0,0,0,0
24/04/2020,0,0,0,0
25/04/2020,0,0,0,0
26/04/2020,0,0,0,0
27/04/2020,4.43,0,3,5
28/04/2020,0,0,0,0
29/04/2020,6,0,0,0
30/04/2020,0.4,0,0,0
1/05/2020,19.6,0,0,0
2/05/2020,0,0,0,0
3/05/2020,0,0,0,0
4/05/2020,0,0,4,1
5/05/2020,7.8,0,0,0
6/05/2020,0,6,0,0
7/05/2020,0,0,0,0
8/05/2020,0,0,0,0
9/05/2020,0,0,0,0
10/05/2020,0,0,0,0
11/05/2020,0,0,0,0
12/05/2020,0,0,0,0
13/05/2020,0,0,0,0
14/05/2020,13.8,0,0,0
15/05/2020,4.4,0,0,0
16/05/2020,16,0,0,0
17/05/2020,0.8,0,0,0
18/05/2020,0.8,0,0,0
19/05/2020,0.2,0,0,0
20/05/2020,0,0,0,0
21/05/2020,0,0,0,0
22/05/2020,18.2,0,0,0
23/05/2020,2.8,0,0,0
24/05/2020,0.6,0,0,0
25/05/2020,2.6,0,0,0
26/05/2020,71.2,0,0,0
27/05/2020,0.8,0,0,0
28/05/2020,0,0,0,0
29/05/2020,0.2,0,0,0
30/05/2020,6.4,0,0,0
31/05/2020,0,0,0,0
1/06/2020,0,0,0,0
2/06/2020,4.8,4,0,76
3/06/2020,0,0,0,0
4/06/2020,0.4,0,0,0
5/06/2020,0,0,0,0
6/06/2020,0,0,0,0
7/06/2020,0,0,0,0
8/06/2020,9.8,0,0,0
9/06/2020,6,0,0,0
10/06/2020,14.8,0,0,0
11/06/2020,4.2,0,0,0
12/06/2020,3.8,0,0,0
13/06/2020,8.2,0,0,0
14/06/2020,7,0,0,0
15/06/2020,0,0,0,0
16/06/2020,0,0,0,0
17/06/2020,0,0,0,0
18/06/2020,0.4,0,0,0
19/06/2020,0.2,0,0,0
20/06/2020,0,0,0,0
21/06/2020,5.4,0,0,0
22/06/2020,0.8,0,0,0
23/06/2020,0,0,0,0
24/06/2020,0,0,0,0
25/06/2020,0.6,0,0,0
26/06/2020,0.2,0,0,0
27/06/2020,3.2,0,0,0
28/06/2020,4.4,0,0,0
29/06/2020,12.2,0,0,0
30/06/2020,5.2,0,0,0
1/07/2020,0.2,0,4,10
2/07/2020,0,0,0,0
3/07/2020,0,0,0,0
4/07/2020,2.2,0,0,0
5/07/2020,0,0,0,0
6/07/2020,0,0,0,0
7/07/2020,0,0,0,0
8/07/2020,13.8,0,0,0
9/07/2020,0.4,0,0,0
10/07/2020,0,0,0,0
11/07/2020,4.2,0,0,0
12/07/2020,0.8,0,0,0
13/07/2020,4.6,0,0,0
14/07/2020,11.6,0,0,0
15/07/2020,15.8,0,0,0
16/07/2020,0.8,0,0,0
17/07/2020,3.2,0,0,0
18/07/2020,2.4,0,0,0
19/07/2020,0,0,0,0
20/07/2020,0,0,0,0
21/07/2020,0,0,0,0
22/07/2020,0,0,0,0
23/07/2020,0,0,0,0
24/07/2020,0,0,0,0
25/07/2020,0,0,0,0
26/07/2020,4.2,0,0,0
27/07/2020,55,0,0,0
28/07/2020,54.4,0,0,0
29/07/2020,0.4,0,0,0
30/07/2020,0,0,0,0
31/07/2020,0,0,0,0
1/08/2020,0,0,0,0
2/08/2020,0,0,0,0
3/08/2020,0,0,0,0
4/08/2020,0,0,0,0
5/08/2020,0,0,0,0
6/08/2020,0,1,0,0
7/08/2020,0,0,0,0
8/08/2020,28.6,0,0,0
9/08/2020,2.8,0,0,0
10/08/2020,46,0,0,0
11/08/2020,2.6,0,0,0
12/08/2020,0,0,0,0
13/08/2020,1.2,0,0,0
14/08/2020,0,0,0,0
15/08/2020,4.4,0,0,0
16/08/2020,1.8,0,0,0
17/08/2020,0,0,0,0
18/08/2020,0,0,0,0
19/08/2020,0,0,0,0
20/08/2020,0,0,0,0
21/08/2020,0,0,0,0
22/08/2020,0,0,0,0
23/08/2020,0,0,0,0
