Date,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1,0,0,0,0,19.6,0,0.2,0,0,2.6,13.4,0
2,0,0,0,0,0,4.8,0,0,0,0,10.2,5.2
3,0,16,0,4,0,0,0,0,0,0,0,0.2
4,0,2.2,19.6,9.6,0,0.4,2.2,0,0,0,0,0
5,0,0.6,7.2,0,7.8,0,0,0,7,0,3.4,0
6,0.4,3.2,38,0,0,0,0,0,0.2,0,28.8,7.4
7,2.8,64.2,0.2,4,0,0,0,0,0,0,0.8,0
8,1.8,47.6,7.8,7.2,0,9.8,13.8,28.6,0,0.8,0,0
9,0,52.4,7.8,0,0,6,0.4,2.8,0.2,0,0.6,0
10,0.1,153.6,8,2.8,0,14.8,0,46,6.2,0,0,0
11,0.4,0,0,0,0,4.2,4.2,2.6,0,0,0,0
12,0,0.2,0.8,2.02,0,3.8,0.8,0,0,0,0,0
13,1,13.2,0,0,0,8.2,4.6,1.2,0,0,4.6,2.8
14,0,5.4,0,0,13.8,7,11.6,0,0,0,0.2,3
15,0,0,10.4,0,4.4,0,15.8,4.4,0,0,0,7.8
16,4.4,1,7,0,16,0,0.8,1.8,0,0,0,4.6
17,5.6,0.2,23.6,0,0.8,0,3.2,0,0,0.2,0,0.4
18,45,0.4,0.2,0,0.8,0.4,2.4,0,0,1.8,0.8,0
19,5.4,7.2,0,0,0.2,0.2,0,0,4.2,4.4,0.2,4.6
20,0.2,0.2,0,0,0,0,0,0,3.4,1,0,8.2
21,2.6,0,0,0,0,5.4,0,0,8.6,1,0,1
22,0,0.2,1.4,0,18.2,0.8,0,0,0,0,0,27.8
23,0,1.2,0,0,2.8,0,0,0,0,0,2.6,0
24,0.1,0,10.4,0,0.6,0,0,0,0,4.2,1.4,0
25,1,0,0,0,2.6,0.6,0,0,0,16.6,0,2.6
26,0.2,0,11,0,71.2,0.2,4.2,0,2.6,30.2,0,8.2
27,0,0.4,0,4.43,0.8,3.2,55,0,0,4.6,0,2
28,0,0,0,0,0,4.4,54.4,0,0,0,0,0
29,0,0,12.2,6,0.2,12.2,0.4,0,0,19.8,0,10
30,0,,1.4,0.4,6.4,5.2,0,0,0,0.8,0,30.4
31,0,,0,,0,,0,0,,6.6,,0
